,age,job,marital,education,housing,loan,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
22516,52,admin.,divorced,7.0,yes,no,1.4,93.444,-36.1,4.964,5228,no
21700,32,technician,single,5.0,yes,no,1.4,93.444,-36.1,4.963,5228,no
11145,48,admin.,single,7.0,yes,no,1.4,94.465,-41.8,4.961,5228,no
19144,49,blue-collar,married,5.0,no,no,1.4,93.444,-36.1,4.968,5228,no
12375,34,technician,married,5.0,yes,no,1.4,93.918,-42.7,4.959,5228,no
22512,58,blue-collar,married,,yes,no,1.4,93.444,-36.1,4.964,5228,no
34919,39,technician,divorced,5.0,yes,no,-1.8,92.893,-46.2,1.25,5099,no
36869,31,technician,married,6.0,yes,no,-2.9,92.963,-40.8,1.252,5076,no
12193,53,technician,married,6.0,yes,no,1.4,93.918,-42.7,4.955,5228,no
1986,36,blue-collar,single,5.0,no,yes,1.1,93.994,-36.4,4.857,5191,no
19996,43,admin.,married,7.0,yes,no,1.4,93.444,-36.1,4.966,5228,no
20524,32,technician,single,6.0,yes,no,1.4,93.444,-36.1,4.966,5228,yes
31242,46,services,single,5.0,yes,no,-1.8,92.893,-46.2,1.334,5099,no
28411,52,admin.,married,7.0,yes,no,-1.8,93.075,-47.1,1.435,5099,no
30635,56,services,divorced,5.0,no,no,-1.8,92.893,-46.2,1.354,5099,yes
18891,44,services,married,6.0,no,no,1.4,93.444,-36.1,4.97,5228,no
26939,52,blue-collar,married,4.0,no,no,-0.1,93.2,-42.0,4.076,5196,no
21812,40,admin.,married,5.0,yes,yes,1.4,93.444,-36.1,4.964,5228,no
31274,36,management,married,4.0,no,no,-1.8,92.893,-46.2,1.334,5099,no
15142,27,admin.,single,5.0,yes,no,1.4,93.918,-42.7,4.958,5228,no
33190,43,admin.,single,7.0,yes,yes,-1.8,92.893,-46.2,1.291,5099,no
21874,33,admin.,married,7.0,yes,no,1.4,93.444,-36.1,4.964,5228,no
24220,33,blue-collar,single,4.0,yes,no,-0.1,93.2,-42.0,4.191,5196,no
35042,55,housemaid,married,5.0,yes,no,-1.8,92.893,-46.2,1.25,5099,no
26258,35,blue-collar,single,3.0,no,no,-0.1,93.2,-42.0,4.076,5196,no
39450,48,admin.,married,7.0,yes,no,-1.8,93.749,-34.6,0.644,5009,no
1242,48,admin.,married,5.0,no,yes,1.1,93.994,-36.4,4.855,5191,no
20139,36,admin.,married,7.0,yes,no,1.4,93.444,-36.1,4.965,5228,no
3207,45,,married,,no,yes,1.1,93.994,-36.4,4.86,5191,no
35988,44,blue-collar,married,6.0,yes,yes,-1.8,92.893,-46.2,1.266,5099,no
30340,58,retired,divorced,7.0,no,no,-1.8,93.075,-47.1,1.365,5099,no
27850,21,student,single,5.0,no,no,-1.8,92.843,-50.0,1.614,5099,yes
20902,34,admin.,single,7.0,no,no,1.4,93.444,-36.1,4.964,5228,no
28613,30,admin.,married,7.0,no,no,-1.8,93.075,-47.1,1.415,5099,no
