"","X","age","job","marital","education","housing","loan","emp.var.rate","cons.price.idx","cons.conf.idx","euribor3m","nr.employed","y"
"1",0,56,"housemaid","married","2","no","no",1.1,93.994,-36.4,4.857,5191,"no"
"2",1,57,"services","married","5","no","no",1.1,93.994,-36.4,4.857,5191,"no"
"3",2,37,"services","married","5","yes","no",1.1,93.994,-36.4,4.857,5191,"no"
"4",3,40,"admin.","married","3","no","no",1.1,93.994,-36.4,4.857,5191,"no"
"5",4,56,"services","married","5","no","yes",1.1,93.994,-36.4,4.857,5191,"no"
"6",5,45,"services","married","4","no","no",1.1,93.994,-36.4,4.857,5191,"no"
"7",6,59,"admin.","married","6","no","no",1.1,93.994,-36.4,4.857,5191,"no"
"8",7,41,"blue-collar","married","NA","no","no",1.1,93.994,-36.4,4.857,5191,"no"
"9",8,24,"technician","single","6","yes","no",1.1,93.994,-36.4,4.857,5191,"no"
"10",9,25,"services","single","5","yes","no",1.1,93.994,-36.4,4.857,5191,"no"
"11",10,41,"blue-collar","married","NA","no","no",1.1,93.994,-36.4,4.857,5191,"no"
"12",11,25,"services","single","5","yes","no",1.1,93.994,-36.4,4.857,5191,"no"
"13",12,29,"blue-collar","single","5","no","yes",1.1,93.994,-36.4,4.857,5191,"no"
"14",13,57,"housemaid","divorced","2","yes","no",1.1,93.994,-36.4,4.857,5191,"no"
"15",14,35,"blue-collar","married","3","yes","no",1.1,93.994,-36.4,4.857,5191,"no"
"16",15,54,"retired","married","4","yes","yes",1.1,93.994,-36.4,4.857,5191,"no"
"17",16,35,"blue-collar","married","3","yes","no",1.1,93.994,-36.4,4.857,5191,"no"
"18",17,46,"blue-collar","married","3","yes","yes",1.1,93.994,-36.4,4.857,5191,"no"
"19",18,50,"blue-collar","married","4","yes","yes",1.1,93.994,-36.4,4.857,5191,"no"
"20",19,39,"management","single","4","no","no",1.1,93.994,-36.4,4.857,5191,"no"
"21",20,30,"unemployed","married","5","no","no",1.1,93.994,-36.4,4.857,5191,"no"
"22",21,55,"blue-collar","married","2","yes","no",1.1,93.994,-36.4,4.857,5191,"no"
"23",22,55,"retired","single","5","yes","no",1.1,93.994,-36.4,4.857,5191,"no"
"24",23,41,"technician","single","5","yes","no",1.1,93.994,-36.4,4.857,5191,"no"
"25",24,37,"admin.","married","5","yes","no",1.1,93.994,-36.4,4.857,5191,"no"
"26",25,35,"technician","married","7","no","yes",1.1,93.994,-36.4,4.857,5191,"no"
"27",26,59,"technician","married","NA","yes","no",1.1,93.994,-36.4,4.857,5191,"no"
"28",27,39,"self-employed","married","4","no","no",1.1,93.994,-36.4,4.857,5191,"no"
"29",28,54,"technician","single","7","no","no",1.1,93.994,-36.4,4.857,5191,"no"
"30",29,55,"NA","married","7","NA","NA",1.1,93.994,-36.4,4.857,5191,"no"
"31",30,46,"admin.","married","NA","no","no",1.1,93.994,-36.4,4.857,5191,"no"
"32",31,59,"technician","married","NA","yes","no",1.1,93.994,-36.4,4.857,5191,"no"
"33",32,49,"blue-collar","married","NA","no","no",1.1,93.994,-36.4,4.857,5191,"no"
"34",33,54,"management","married","2","yes","no",1.1,93.994,-36.4,4.857,5191,"no"
"35",34,54,"blue-collar","divorced","2","no","no",1.1,93.994,-36.4,4.857,5191,"no"
"36",35,55,"NA","married","2","yes","no",1.1,93.994,-36.4,4.857,5191,"no"
"37",36,34,"services","married","5","no","no",1.1,93.994,-36.4,4.857,5191,"no"
"38",37,52,"technician","married","4","yes","no",1.1,93.994,-36.4,4.857,5191,"no"
"39",38,41,"admin.","married","7","yes","no",1.1,93.994,-36.4,4.857,5191,"no"
"40",39,56,"technician","married","2","yes","no",1.1,93.994,-36.4,4.857,5191,"no"
"41",40,58,"management","NA","7","yes","no",1.1,93.994,-36.4,4.857,5191,"no"
"42",41,32,"entrepreneur","married","5","yes","no",1.1,93.994,-36.4,4.857,5191,"no"
"43",42,38,"admin.","single","6","no","no",1.1,93.994,-36.4,4.857,5191,"no"
"44",43,57,"admin.","married","7","no","yes",1.1,93.994,-36.4,4.857,5191,"no"
"45",44,44,"admin.","married","7","yes","no",1.1,93.994,-36.4,4.857,5191,"no"
"46",45,42,"technician","single","6","no","no",1.1,93.994,-36.4,4.857,5191,"no"
"47",46,57,"admin.","married","7","yes","yes",1.1,93.994,-36.4,4.857,5191,"no"
"48",47,40,"blue-collar","married","4","no","yes",1.1,93.994,-36.4,4.857,5191,"no"
"49",48,35,"admin.","married","7","yes","no",1.1,93.994,-36.4,4.857,5191,"no"
"50",49,45,"blue-collar","married","4","yes","no",1.1,93.994,-36.4,4.857,5191,"no"
"51",50,54,"admin.","married","5","no","no",1.1,93.994,-36.4,4.857,5191,"no"
"52",51,39,"housemaid","married","2","no","yes",1.1,93.994,-36.4,4.857,5191,"no"
"53",52,60,"admin.","married","5","no","no",1.1,93.994,-36.4,4.857,5191,"no"
"54",53,53,"admin.","single","6","no","no",1.1,93.994,-36.4,4.857,5191,"no"
"55",54,55,"blue-collar","married","2","no","no",1.1,93.994,-36.4,4.857,5191,"no"
"56",55,55,"technician","married","6","yes","no",1.1,93.994,-36.4,4.857,5191,"no"
"57",56,50,"management","married","7","no","yes",1.1,93.994,-36.4,4.857,5191,"no"
"58",57,45,"services","married","5","yes","no",1.1,93.994,-36.4,4.857,5191,"no"
"59",58,55,"unemployed","married","6","yes","yes",1.1,93.994,-36.4,4.857,5191,"no"
"60",59,25,"technician","single","7","yes","no",1.1,93.994,-36.4,4.857,5191,"no"
"61",60,47,"entrepreneur","married","7","no","no",1.1,93.994,-36.4,4.857,5191,"no"
"62",61,51,"blue-collar","married","4","yes","no",1.1,93.994,-36.4,4.857,5191,"no"
"63",62,42,"blue-collar","married","3","yes","no",1.1,93.994,-36.4,4.857,5191,"no"
"64",63,42,"blue-collar","married","3","no","no",1.1,93.994,-36.4,4.857,5191,"no"
"65",64,48,"admin.","married","5","no","no",1.1,93.994,-36.4,4.857,5191,"no"
"66",65,37,"admin.","married","7","no","no",1.1,93.994,-36.4,4.857,5191,"no"
"67",66,44,"blue-collar","single","4","yes","no",1.1,93.994,-36.4,4.857,5191,"no"
"68",67,33,"admin.","married","NA","yes","no",1.1,93.994,-36.4,4.857,5191,"no"
"69",68,56,"admin.","married","4","yes","no",1.1,93.994,-36.4,4.857,5191,"no"
"70",69,44,"blue-collar","single","2","yes","yes",1.1,93.994,-36.4,4.857,5191,"no"
"71",70,41,"management","married","3","no","no",1.1,93.994,-36.4,4.857,5191,"no"
"72",71,44,"management","divorced","7","yes","no",1.1,93.994,-36.4,4.857,5191,"no"
"73",72,47,"admin.","married","7","yes","no",1.1,93.994,-36.4,4.857,5191,"no"
"74",73,57,"NA","married","NA","no","no",1.1,93.994,-36.4,4.857,5191,"no"
"75",74,37,"admin.","married","7","yes","no",1.1,93.994,-36.4,4.857,5191,"no"
"76",75,41,"blue-collar","divorced","2","yes","no",1.1,93.994,-36.4,4.857,5191,"yes"
"77",76,55,"technician","married","7","no","no",1.1,93.994,-36.4,4.857,5191,"no"
"78",77,33,"services","married","5","yes","no",1.1,93.994,-36.4,4.857,5191,"no"
"79",78,55,"management","married","NA","yes","no",1.1,93.994,-36.4,4.857,5191,"no"
"80",79,42,"blue-collar","married","4","no","no",1.1,93.994,-36.4,4.857,5191,"no"
"81",80,50,"blue-collar","married","2","yes","no",1.1,93.994,-36.4,4.857,5191,"no"
"82",81,51,"blue-collar","married","2","NA","NA",1.1,93.994,-36.4,4.857,5191,"no"
"83",82,38,"admin.","married","5","no","no",1.1,93.994,-36.4,4.857,5191,"no"
"84",83,49,"entrepreneur","married","7","yes","no",1.1,93.994,-36.4,4.857,5191,"yes"
"85",84,38,"technician","single","7","no","yes",1.1,93.994,-36.4,4.857,5191,"no"
"86",85,31,"admin.","divorced","5","no","no",1.1,93.994,-36.4,4.857,5191,"no"
"87",86,41,"management","married","3","no","no",1.1,93.994,-36.4,4.857,5191,"no"
"88",87,39,"admin.","married","7","yes","yes",1.1,93.994,-36.4,4.857,5191,"no"
"89",88,49,"technician","married","4","no","no",1.1,93.994,-36.4,4.857,5191,"yes"
"90",89,34,"admin.","married","5","yes","no",1.1,93.994,-36.4,4.857,5191,"no"
"91",90,35,"admin.","married","7","yes","no",1.1,93.994,-36.4,4.857,5191,"no"
"92",91,57,"NA","married","NA","yes","no",1.1,93.994,-36.4,4.857,5191,"no"
"93",92,60,"admin.","married","NA","no","yes",1.1,93.994,-36.4,4.857,5191,"no"
"94",93,33,"unemployed","married","4","no","no",1.1,93.994,-36.4,4.857,5191,"no"
"95",94,42,"blue-collar","married","3","no","yes",1.1,93.994,-36.4,4.857,5191,"no"
"96",95,45,"services","married","6","yes","no",1.1,93.994,-36.4,4.857,5191,"no"
"97",96,42,"management","married","7","no","no",1.1,93.994,-36.4,4.857,5191,"no"
"98",97,53,"admin.","divorced","7","no","no",1.1,93.994,-36.4,4.857,5191,"no"
"99",98,37,"technician","single","6","no","no",1.1,93.994,-36.4,4.857,5191,"no"
"100",99,44,"blue-collar","married","3","no","no",1.1,93.994,-36.4,4.857,5191,"no"
"101",100,54,"services","married","NA","yes","no",1.1,93.994,-36.4,4.857,5191,"no"
"102",101,49,"blue-collar","married","2","no","no",1.1,93.994,-36.4,4.857,5191,"no"
"103",102,54,"services","married","NA","no","no",1.1,93.994,-36.4,4.857,5191,"no"
"104",103,52,"admin.","divorced","7","no","no",1.1,93.994,-36.4,4.857,5191,"no"
"105",104,52,"admin.","divorced","7","no","no",1.1,93.994,-36.4,4.857,5191,"no"
"106",105,43,"services","single","5","no","no",1.1,93.994,-36.4,4.857,5191,"no"
"107",106,34,"housemaid","married","3","yes","no",1.1,93.994,-36.4,4.857,5191,"no"
"108",107,35,"admin.","married","5","yes","no",1.1,93.994,-36.4,4.857,5191,"no"
"109",108,42,"entrepreneur","married","NA","yes","no",1.1,93.994,-36.4,4.857,5191,"no"
"110",109,43,"technician","married","NA","yes","yes",1.1,93.994,-36.4,4.857,5191,"no"
"111",110,60,"retired","divorced","7","no","no",1.1,93.994,-36.4,4.857,5191,"no"
"112",111,58,"unemployed","married","2","no","no",1.1,93.994,-36.4,4.857,5191,"no"
"113",112,35,"services","divorced","5","yes","no",1.1,93.994,-36.4,4.857,5191,"no"
"114",113,55,"blue-collar","married","4","yes","no",1.1,93.994,-36.4,4.857,5191,"no"
"115",114,37,"management","married","7","no","no",1.1,93.994,-36.4,4.857,5191,"no"
"116",115,36,"blue-collar","married","5","no","no",1.1,93.994,-36.4,4.857,5191,"no"
"117",116,52,"admin.","divorced","7","no","no",1.1,93.994,-36.4,4.857,5191,"no"
"118",117,57,"blue-collar","divorced","NA","yes","no",1.1,93.994,-36.4,4.857,5191,"no"
"119",118,56,"admin.","married","NA","yes","no",1.1,93.994,-36.4,4.857,5191,"no"
"120",119,48,"blue-collar","divorced","2","yes","no",1.1,93.994,-36.4,4.857,5191,"no"
"121",120,40,"blue-collar","married","5","yes","no",1.1,93.994,-36.4,4.857,5191,"no"
"122",121,49,"blue-collar","divorced","5","no","no",1.1,93.994,-36.4,4.857,5191,"no"
"123",122,41,"services","married","5","no","no",1.1,93.994,-36.4,4.857,5191,"no"
"124",123,45,"technician","married","5","yes","no",1.1,93.994,-36.4,4.857,5191,"no"
"125",124,32,"admin.","married","7","yes","yes",1.1,93.994,-36.4,4.857,5191,"no"
"126",125,42,"admin.","married","7","no","yes",1.1,93.994,-36.4,4.857,5191,"no"
"127",126,50,"admin.","married","3","no","no",1.1,93.994,-36.4,4.857,5191,"no"
"128",127,31,"technician","divorced","6","yes","yes",1.1,93.994,-36.4,4.857,5191,"no"
"129",128,56,"retired","married","2","yes","no",1.1,93.994,-36.4,4.857,5191,"no"
"130",129,41,"technician","married","6","yes","no",1.1,93.994,-36.4,4.857,5191,"yes"
"131",130,37,"blue-collar","married","3","yes","yes",1.1,93.994,-36.4,4.857,5191,"no"
"132",131,41,"technician","married","6","no","no",1.1,93.994,-36.4,4.857,5191,"no"
"133",132,35,"blue-collar","married","NA","yes","no",1.1,93.994,-36.4,4.857,5191,"no"
"134",133,37,"blue-collar","married","3","yes","no",1.1,93.994,-36.4,4.857,5191,"no"
"135",134,52,"management","married","7","no","no",1.1,93.994,-36.4,4.857,5191,"no"
"136",135,39,"management","divorced","7","no","no",1.1,93.994,-36.4,4.857,5191,"no"
"137",136,39,"housemaid","married","2","no","no",1.1,93.994,-36.4,4.857,5191,"no"
"138",137,56,"blue-collar","married","2","no","no",1.1,93.994,-36.4,4.857,5191,"no"
"139",138,34,"services","married","5","yes","no",1.1,93.994,-36.4,4.857,5191,"no"
"140",139,45,"blue-collar","married","4","yes","no",1.1,93.994,-36.4,4.857,5191,"yes"
"141",140,43,"unemployed","single","7","yes","no",1.1,93.994,-36.4,4.857,5191,"no"
"142",141,56,"management","married","NA","yes","no",1.1,93.994,-36.4,4.857,5191,"no"
"143",142,39,"management","married","7","yes","no",1.1,93.994,-36.4,4.857,5191,"no"
"144",143,53,"blue-collar","married","2","yes","no",1.1,93.994,-36.4,4.857,5191,"no"
"145",144,38,"NA","divorced","5","yes","no",1.1,93.994,-36.4,4.857,5191,"no"
"146",145,42,"blue-collar","married","2","yes","no",1.1,93.994,-36.4,4.857,5191,"no"
"147",146,42,"blue-collar","married","2","no","no",1.1,93.994,-36.4,4.857,5191,"no"
"148",147,35,"admin.","single","5","yes","no",1.1,93.994,-36.4,4.857,5191,"no"
"149",148,40,"admin.","married","7","yes","no",1.1,93.994,-36.4,4.857,5191,"no"
"150",149,51,"blue-collar","married","2","yes","no",1.1,93.994,-36.4,4.857,5191,"no"
"151",150,60,"blue-collar","married","4","no","no",1.1,93.994,-36.4,4.857,5191,"no"
"152",151,56,"entrepreneur","married","NA","yes","no",1.1,93.994,-36.4,4.857,5191,"no"
"153",152,39,"services","divorced","5","yes","no",1.1,93.994,-36.4,4.857,5191,"no"
"154",153,56,"entrepreneur","married","NA","no","no",1.1,93.994,-36.4,4.857,5191,"no"
"155",154,40,"blue-collar","married","NA","yes","yes",1.1,93.994,-36.4,4.857,5191,"no"
"156",155,36,"blue-collar","married","4","yes","yes",1.1,93.994,-36.4,4.857,5191,"no"
"157",156,51,"blue-collar","married","NA","yes","no",1.1,93.994,-36.4,4.857,5191,"no"
"158",157,51,"blue-collar","married","NA","no","no",1.1,93.994,-36.4,4.857,5191,"no"
"159",158,43,"technician","single","6","yes","no",1.1,93.994,-36.4,4.857,5191,"no"
"160",159,59,"services","married","5","no","no",1.1,93.994,-36.4,4.857,5191,"no"
"161",160,24,"management","single","7","yes","no",1.1,93.994,-36.4,4.857,5191,"no"
"162",161,37,"blue-collar","single","4","yes","yes",1.1,93.994,-36.4,4.857,5191,"no"
"163",162,40,"blue-collar","married","4","no","no",1.1,93.994,-36.4,4.857,5191,"no"
"164",163,42,"blue-collar","married","4","no","no",1.1,93.994,-36.4,4.857,5191,"no"
"165",164,39,"services","divorced","5","no","no",1.1,93.994,-36.4,4.857,5191,"no"
"166",165,37,"entrepreneur","married","3","no","no",1.1,93.994,-36.4,4.857,5191,"no"
"167",166,38,"services","married","5","yes","yes",1.1,93.994,-36.4,4.857,5191,"no"
"168",167,56,"admin.","divorced","NA","no","no",1.1,93.994,-36.4,4.857,5191,"no"
