"","X","age","job","marital","education","housing","loan","education_imp","job_imp","loan_imp","housing_imp","marital_imp","y"
"1",0,56,"housemaid","married","2","no","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"2",1,57,"services","married","5","no","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"3",2,37,"services","married","5","yes","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"4",3,40,"admin.","married","3","no","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"5",4,56,"services","married","5","no","yes",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"6",5,45,"services","married","4","no","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"7",6,59,"admin.","married","6","no","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"8",7,41,"blue-collar","married","2","no","no",TRUE,FALSE,FALSE,FALSE,FALSE,"no"
"9",8,24,"technician","single","6","yes","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"10",9,25,"services","single","5","yes","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"11",10,41,"blue-collar","married","7","no","no",TRUE,FALSE,FALSE,FALSE,FALSE,"no"
"12",11,25,"services","single","5","yes","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"13",12,29,"blue-collar","single","5","no","yes",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"14",13,57,"housemaid","divorced","2","yes","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"15",14,35,"blue-collar","married","3","yes","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"16",15,54,"retired","married","4","yes","yes",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"17",16,35,"blue-collar","married","3","yes","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"18",17,46,"blue-collar","married","3","yes","yes",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"19",18,50,"blue-collar","married","4","yes","yes",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"20",19,39,"management","single","4","no","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"21",20,30,"unemployed","married","5","no","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"22",21,55,"blue-collar","married","2","yes","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"23",22,55,"retired","single","5","yes","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"24",23,41,"technician","single","5","yes","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"25",24,37,"admin.","married","5","yes","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"26",25,35,"technician","married","7","no","yes",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"27",26,59,"technician","married","6","yes","no",TRUE,FALSE,FALSE,FALSE,FALSE,"no"
"28",27,39,"self-employed","married","4","no","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"29",28,54,"technician","single","7","no","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"30",29,55,"blue-collar","married","7","no","no",FALSE,TRUE,TRUE,TRUE,FALSE,"no"
"31",30,46,"admin.","married","5","no","no",TRUE,FALSE,FALSE,FALSE,FALSE,"no"
"32",31,59,"technician","married","7","yes","no",TRUE,FALSE,FALSE,FALSE,FALSE,"no"
"33",32,49,"blue-collar","married","2","no","no",TRUE,FALSE,FALSE,FALSE,FALSE,"no"
"34",33,54,"management","married","2","yes","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"35",34,54,"blue-collar","divorced","2","no","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"36",35,55,"housemaid","married","2","yes","no",FALSE,TRUE,FALSE,FALSE,FALSE,"no"
"37",36,34,"services","married","5","no","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"38",37,52,"technician","married","4","yes","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"39",38,41,"admin.","married","7","yes","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"40",39,56,"technician","married","2","yes","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"41",40,58,"management","single","7","yes","no",FALSE,FALSE,FALSE,FALSE,TRUE,"no"
"42",41,32,"entrepreneur","married","5","yes","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"43",42,38,"admin.","single","6","no","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"44",43,57,"admin.","married","7","no","yes",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"45",44,44,"admin.","married","7","yes","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"46",45,42,"technician","single","6","no","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"47",46,57,"admin.","married","7","yes","yes",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"48",47,40,"blue-collar","married","4","no","yes",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"49",48,35,"admin.","married","7","yes","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"50",49,45,"blue-collar","married","4","yes","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"51",50,54,"admin.","married","5","no","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"52",51,39,"housemaid","married","2","no","yes",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"53",52,60,"admin.","married","5","no","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"54",53,53,"admin.","single","6","no","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"55",54,55,"blue-collar","married","2","no","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"56",55,55,"technician","married","6","yes","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"57",56,50,"management","married","7","no","yes",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"58",57,45,"services","married","5","yes","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"59",58,55,"unemployed","married","6","yes","yes",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"60",59,25,"technician","single","7","yes","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"61",60,47,"entrepreneur","married","7","no","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"62",61,51,"blue-collar","married","4","yes","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"63",62,42,"blue-collar","married","3","yes","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"64",63,42,"blue-collar","married","3","no","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"65",64,48,"admin.","married","5","no","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"66",65,37,"admin.","married","7","no","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"67",66,44,"blue-collar","single","4","yes","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"68",67,33,"admin.","married","7","yes","no",TRUE,FALSE,FALSE,FALSE,FALSE,"no"
"69",68,56,"admin.","married","4","yes","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"70",69,44,"blue-collar","single","2","yes","yes",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
