age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
42,management,married,university.degree,no,no,no,telephone,may,mon,426,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
70,admin.,married,basic.4y,no,no,no,cellular,sep,tue,1962,1,999,2,failure,-3.4,92.379,-29.8,0.77,5017.5,yes
32,technician,married,high.school,no,no,no,cellular,may,fri,56,1,999,0,nonexistent,-1.8,92.893,-46.2,1.313,5099.1,no
23,student,single,high.school,no,no,no,cellular,jun,wed,200,2,999,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,yes
31,services,married,high.school,no,no,no,telephone,nov,fri,271,2,3,2,success,-3.4,92.649,-30.1,0.714,5017.5,yes
19,student,single,basic.6y,no,yes,yes,cellular,sep,thu,452,5,13,1,success,-1.1,94.199,-37.5,0.879,4963.6,yes
33,technician,single,professional.course,no,no,yes,cellular,aug,mon,285,5,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
32,blue-collar,single,high.school,no,no,no,cellular,may,mon,80,1,999,0,nonexistent,-1.8,92.893,-46.2,1.299,5099.1,no
52,management,divorced,university.degree,no,no,yes,telephone,may,tue,116,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
50,blue-collar,married,basic.6y,no,yes,no,cellular,may,mon,293,3,3,1,success,-1.8,92.893,-46.2,1.354,5099.1,yes
47,admin.,married,university.degree,no,no,no,telephone,may,thu,42,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no
37,technician,single,professional.course,no,yes,no,cellular,aug,mon,44,1,999,0,nonexistent,1.4,93.444,-36.1,4.97,5228.1,no
39,technician,single,professional.course,no,yes,no,cellular,apr,wed,226,2,999,0,nonexistent,-1.8,93.075,-47.1,1.415,5099.1,no
38,entrepreneur,married,basic.4y,no,no,no,telephone,oct,fri,227,1,999,0,nonexistent,-0.1,93.798,-40.4,4.76,5195.8,yes
20,student,single,basic.4y,no,yes,no,cellular,aug,wed,267,1,999,0,nonexistent,-2.9,92.201,-31.4,0.879,5076.2,yes
31,blue-collar,single,high.school,no,yes,no,telephone,jun,mon,750,2,999,0,nonexistent,1.4,94.465,-41.8,4.96,5228.1,yes
49,admin.,married,high.school,no,yes,no,cellular,aug,wed,668,2,15,1,success,-2.9,92.201,-31.4,0.879,5076.2,yes
72,retired,married,professional.course,no,no,no,cellular,mar,fri,87,1,3,1,success,-1.8,93.369,-34.8,0.653,5008.7,yes
24,student,single,high.school,no,yes,no,cellular,dec,thu,726,3,999,0,nonexistent,-3.0,92.713,-33.0,0.712,5023.5,yes
31,technician,married,professional.course,no,yes,no,cellular,apr,wed,131,1,999,0,nonexistent,-1.8,93.075,-47.1,1.498,5099.1,no
33,admin.,married,university.degree,no,no,no,cellular,sep,mon,369,3,999,0,nonexistent,-1.1,94.199,-37.5,0.882,4963.6,yes
29,admin.,married,university.degree,no,yes,no,cellular,apr,wed,350,2,999,0,nonexistent,-1.8,93.075,-47.1,1.445,5099.1,yes
30,technician,single,university.degree,no,yes,yes,cellular,jul,mon,149,7,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,no
31,services,single,professional.course,no,yes,no,telephone,oct,tue,373,1,999,0,nonexistent,-3.4,92.431,-26.9,0.737,5017.5,yes
47,management,divorced,university.degree,no,no,no,telephone,may,tue,198,2,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
38,technician,single,university.degree,no,no,no,telephone,may,tue,137,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
32,technician,married,high.school,no,yes,no,cellular,nov,wed,352,4,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,no
30,admin.,single,university.degree,no,no,no,cellular,aug,tue,312,3,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no
84,retired,married,high.school,no,no,no,cellular,dec,tue,351,1,999,0,nonexistent,-3.0,92.713,-33.0,0.715,5023.5,yes
52,admin.,divorced,basic.9y,no,no,yes,cellular,may,mon,639,2,999,0,nonexistent,-1.8,92.893,-46.2,1.244,5099.1,yes
37,unemployed,single,university.degree,no,yes,no,cellular,nov,thu,145,1,999,0,nonexistent,-0.1,93.2,-42.0,4.076,5195.8,no
56,services,divorced,high.school,no,no,no,cellular,jul,mon,167,6,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
47,admin.,single,university.degree,no,no,no,cellular,oct,mon,767,3,999,0,nonexistent,-1.1,94.601,-49.5,1.0,4963.6,yes
29,blue-collar,married,basic.9y,no,no,yes,cellular,may,wed,837,1,999,0,nonexistent,-1.8,92.893,-46.2,1.334,5099.1,yes
32,technician,married,high.school,no,no,no,cellular,may,fri,428,3,999,0,nonexistent,-1.8,92.893,-46.2,1.313,5099.1,no
32,admin.,single,university.degree,no,yes,no,cellular,jun,tue,369,1,999,0,nonexistent,-2.9,92.963,-40.8,1.262,5076.2,no
38,blue-collar,married,basic.6y,no,yes,no,cellular,may,tue,788,1,999,0,nonexistent,-1.8,92.893,-46.2,1.344,5099.1,yes
45,services,divorced,basic.9y,no,no,no,cellular,apr,mon,231,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,no
30,blue-collar,single,basic.9y,no,yes,no,telephone,jun,mon,662,2,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,yes
48,technician,married,professional.course,no,yes,no,cellular,aug,fri,336,8,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,yes
57,retired,married,university.degree,no,yes,yes,cellular,jul,mon,1062,4,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,yes
41,management,married,university.degree,no,yes,yes,cellular,nov,wed,501,4,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,no
29,admin.,single,university.degree,no,yes,yes,cellular,aug,wed,467,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,yes
51,management,married,basic.9y,no,yes,no,cellular,jul,wed,154,4,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
41,technician,married,university.degree,no,yes,no,cellular,aug,mon,71,1,999,0,nonexistent,1.4,93.444,-36.1,4.97,5228.1,no
37,blue-collar,married,basic.9y,no,no,no,cellular,may,fri,612,3,999,0,nonexistent,-1.8,92.893,-46.2,1.313,5099.1,no
30,technician,married,professional.course,no,no,no,telephone,jun,fri,269,1,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no
57,management,married,university.degree,no,yes,yes,cellular,nov,tue,609,2,999,1,failure,-0.1,93.2,-42.0,4.153,5195.8,yes
34,admin.,single,university.degree,no,yes,no,cellular,jul,tue,439,2,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
20,student,single,high.school,no,yes,no,cellular,jun,fri,201,2,999,0,nonexistent,-2.9,92.963,-40.8,1.268,5076.2,yes
43,admin.,married,basic.4y,no,yes,yes,telephone,jul,thu,119,8,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,no
43,admin.,single,high.school,no,no,no,cellular,nov,wed,1011,1,999,1,failure,-0.1,93.2,-42.0,4.12,5195.8,yes
33,admin.,married,high.school,no,yes,no,cellular,nov,wed,323,1,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,no
49,admin.,divorced,university.degree,no,no,no,telephone,may,fri,24,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
37,management,married,university.degree,no,yes,no,cellular,nov,fri,13,4,999,1,failure,-0.1,93.2,-42.0,4.021,5195.8,no
25,admin.,single,basic.9y,no,no,no,cellular,jul,thu,198,3,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,no
33,entrepreneur,married,university.degree,no,yes,no,cellular,jul,tue,303,1,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
32,admin.,single,university.degree,no,no,no,cellular,jun,fri,255,1,999,0,nonexistent,-2.9,92.963,-40.8,1.268,5076.2,yes
39,services,married,high.school,no,yes,yes,cellular,jul,tue,197,4,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
69,retired,married,university.degree,no,yes,no,cellular,apr,thu,616,1,999,0,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,yes
50,technician,divorced,professional.course,no,no,no,telephone,may,mon,173,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
50,blue-collar,married,basic.4y,no,no,yes,cellular,jul,tue,849,1,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,yes
60,housemaid,married,basic.4y,no,yes,no,cellular,jul,thu,503,2,5,2,success,-2.9,92.469,-33.6,1.072,5076.2,yes
30,admin.,single,basic.9y,no,no,no,telephone,nov,thu,26,1,999,0,nonexistent,-0.1,93.2,-42.0,4.076,5195.8,no
25,services,single,high.school,no,yes,no,cellular,oct,thu,260,2,999,0,nonexistent,-3.4,92.431,-26.9,0.733,5017.5,yes
25,admin.,single,university.degree,no,no,no,cellular,aug,thu,215,1,999,0,nonexistent,-1.7,94.027,-38.3,0.904,4991.6,yes
28,services,single,high.school,no,yes,yes,telephone,may,fri,386,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no
51,unemployed,divorced,university.degree,no,no,no,cellular,nov,thu,286,6,999,1,failure,-0.1,93.2,-42.0,4.076,5195.8,no
58,management,married,university.degree,no,yes,no,cellular,may,thu,342,2,999,0,nonexistent,-1.8,93.876,-40.0,0.692,5008.7,yes
48,unemployed,married,professional.course,no,no,no,cellular,may,wed,317,1,6,3,success,-1.8,93.876,-40.0,0.682,5008.7,yes
36,blue-collar,married,high.school,no,no,no,telephone,jun,fri,82,4,999,0,nonexistent,1.4,94.465,-41.8,4.967,5228.1,no
35,technician,single,university.degree,no,yes,no,telephone,may,wed,412,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,yes
27,admin.,married,high.school,no,yes,no,cellular,may,fri,137,2,999,0,nonexistent,-1.8,92.893,-46.2,1.259,5099.1,no
30,services,single,high.school,no,no,no,cellular,nov,fri,648,1,999,0,nonexistent,-0.1,93.2,-42.0,4.021,5195.8,yes
43,entrepreneur,married,professional.course,no,yes,no,cellular,may,fri,311,1,999,1,failure,-1.8,92.893,-46.2,1.25,5099.1,yes
26,student,single,basic.9y,no,yes,no,cellular,mar,mon,1447,2,999,0,nonexistent,-1.8,92.843,-50.0,1.811,5099.1,yes
48,housemaid,married,basic.6y,no,no,no,cellular,nov,wed,167,4,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,no
